Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2021-04-09,10040,10055,10015,10035,10035,302855,0.0
2021-04-12,10085,10130,10070,10110,10110,160163,0.0
2021-04-13,10135,10140,10110,10115,10115,114535,0.0
2021-04-14,10219,10224,10160,10160,10160,86399,0.0
2021-04-15,10060,10080,10045,10075,10075,91721,0.0
2021-04-16,10204,10214,10145,10160,10160,134703,0.0
2021-04-19,10190,10244,10170,10214,10214,131081,0.0
2021-04-20,10120,10125,10060,10075,10075,268690,0.0
2021-04-21,10005,10025,9970,10025,10025,154314,0.0
2021-04-22,10105,10145,10085,10140,10140,46959,0.0
2021-04-23,10065,10065,10005,10005,10005,298746,0.0
2021-04-26,10095,10120,10080,10085,10085,108575,0.0
2021-04-27,10150,10160,10120,10145,10145,81151,0.0
2021-04-28,10125,10135,10105,10110,10110,117147,0.0
2021-04-29,10100,10125,10080,10105,10105,94635,0.0
2021-04-30,10050,10070,10020,10070,10070,214046,0.0
2021-05-03,10115,10145,10080,10145,10145,110266,0.0
2021-05-04,10170,10170,10025,10050,10050,380308,0.0
2021-05-06,9911,9916,9867,9906,9906,291512,0.0
2021-05-07,9906,9980,9906,9950,9950,104524,0.0
2021-05-10,9960,9990,9940,9940,9940,278423,0.0
2021-05-11,9714,9714,9609,9669,9669,300255,0.0
2021-05-12,9724,9759,9664,9729,9729,107541,0.0
2021-05-13,9599,9629,9584,9599,9599,101018,0.0
2021-05-14,9639,9724,9639,9694,9694,79218,0.0
2021-05-17,9838,9896,9818,9891,9891,91333,0.0
2021-05-18,9876,9891,9833,9867,9867,113973,0.0
2021-05-20,9719,9764,9714,9754,9754,93185,0.0
2021-05-21,9916,9940,9901,9916,9916,180741,0.0
2021-05-24,9843,9881,9833,9862,9862,86898,0.0
2021-05-25,9921,10040,9921,10020,10020,191025,0.0
2021-05-26,10020,10030,9945,9960,9960,162967,0.0
2021-05-27,9975,9990,9945,9955,9955,118120,0.0
2021-05-28,9985,9985,9930,9930,9930,79405,0.0
2021-05-31,9945,9970,9906,9916,9916,105143,0.0
2021-06-01,9896,9896,9853,9872,9872,243165,0.0
2021-06-02,9857,9901,9848,9901,9901,49724,0.0
2021-06-03,9916,9935,9901,9921,9921,171458,0.0
2021-06-04,9833,9853,9818,9828,9828,135819,0.0
2021-06-07,9955,9965,9940,9955,9955,163289,0.0
2021-06-08,9990,10055,9990,10040,10040,229187,0.0
2021-06-09,10050,10070,10030,10035,10035,151600,0.0
2021-06-10,10035,10055,10035,10045,10045,113318,0.0
2021-06-11,10110,10135,10100,10100,10100,167162,0.0
2021-06-14,10190,10214,10180,10200,10200,74354,0.0
2021-06-15,10288,10323,10263,10298,10298,89385,0.0
2021-06-16,10239,10244,10214,10229,10229,110122,0.0
2021-06-17,10234,10258,10200,10244,10244,86809,0.0
2021-06-18,10422,10491,10422,10472,10472,81657,0.0
2021-06-21,10392,10402,10357,10402,10402,204270,0.0
2021-06-22,10437,10462,10422,10437,10437,91054,0.0
2021-06-23,10521,10610,10521,10605,10605,68476,0.0
2021-06-24,10586,10610,10576,10576,10576,213157,0.0
2021-06-25,10605,10605,10551,10561,10561,129648,0.0
2021-06-28,10561,10591,10551,10586,10586,131276,0.0
2021-06-29,10689,10694,10664,10669,10669,214958,0.0
2021-06-30,10744,10798,10709,10714,10714,163234,0.0
2021-07-01,10729,10773,10714,10758,10758,221456,0.0
2021-07-02,10758,10768,10739,10754,10754,166245,0.0
2021-07-05,10833,10868,10823,10853,10853,163719,0.0
2021-07-06,10883,10883,10823,10828,10828,187855,0.0
2021-07-07,10843,10992,10843,10973,10973,145164,0.0
2021-07-08,10992,11051,10992,11041,11041,216823,0.0
2021-07-09,10983,11021,10968,11016,11016,188299,0.0
2021-07-12,11071,11076,11051,11076,11076,215066,0.0
2021-07-13,11090,11130,11090,11105,11105,228898,0.0
2021-07-14,11125,11160,11120,11135,11135,150125,0.0
2021-07-15,11130,11145,11086,11105,11105,214159,0.0
2021-07-16,11002,11002,10968,10997,10997,234101,0.0
2021-07-19,10918,10968,10898,10968,10968,136910,0.0
2021-07-20,10963,10988,10943,10978,10978,183859,0.0
2021-07-21,11041,11076,11021,11076,11076,112690,0.0
2021-07-22,11135,11155,11120,11130,11130,141538,0.0
2021-07-23,11219,11249,11214,11249,11249,179339,0.0
2021-07-26,11369,11374,11329,11374,11374,256190,0.0
2021-07-27,11364,11369,11324,11329,11329,196769,0.0
2021-07-28,11234,11269,11224,11259,11259,233332,0.0
2021-07-29,11254,11259,11174,11214,11214,342954,0.0
2021-07-30,11110,11140,11081,11135,11135,259377,0.0
2021-08-02,11254,11304,11249,11289,11289,222209,0.0
2021-08-03,11244,11259,11219,11224,11224,219157,0.0
2021-08-04,11279,11284,11214,11244,11244,188789,0.0
2021-08-05,11254,11284,11234,11249,11249,137221,0.0
2021-08-06,11299,11314,11279,11294,11294,158546,0.0
2021-08-09,11239,11244,11214,11229,11229,298249,0.0
2021-08-10,11294,11339,11294,11334,11334,114619,0.0
